ChunkX,ChunkY,TerrainTime(ms),ModificationTime(ms),FaceTime(ms),MeshTime(ms),TotalTime(ms)
16,-32,155,0,2019,5622,7796
0,-32,142,0,2328,7004,9474
-16,-32,186,0,2505,10061,12752
32,-32,241,0,2679,12579,15499
0,-16,195,0,3402,12596,16193
48,0,296,0,3239,12817,16352
-16,-16,192,2,3331,13338,16863
32,16,308,0,3309,14077,17694
-32,-32,293,0,2891,14991,18175
-16,16,251,0,3156,15744,19151
-48,0,312,0,3552,15958,19822
16,16,263,0,4077,17364,21704
0,32,253,0,4298,17379,21930
-32,16,346,0,3895,18020,22261
0,0,260,0,4035,18837,23132
0,-48,386,0,4393,17947,22726
32,32,379,0,4018,19564,23961
-32,0,208,0,4156,21189,25553
0,16,287,3,4724,20624,25638
0,48,405,0,4799,20401,25605
16,0,245,0,4278,22060,26583
16,-16,280,0,4667,21796,26743
16,32,247,0,4488,22635,27370
16,-48,368,0,6013,16287,22668
-48,16,359,0,5699,16930,22988
32,0,276,0,4714,23111,28101
-16,32,289,0,5300,23999,29588
16,48,418,0,6687,17977,25082
-32,32,406,0,5153,24485,30044
-16,0,290,0,5384,25934,31608
-48,32,824,0,6734,17915,25473
48,16,400,0,6705,19907,27012
48,32,490,0,7116,18833,26439
-32,-16,295,0,5676,27445,33416
-64,0,496,0,6908,18425,25829
-32,-48,490,0,8177,23563,32230
64,0,617,0,8136,19427,28180
-32,48,449,0,8365,24807,33621
-48,-16,629,0,8091,25008,33728
0,64,677,1,8725,20418,29821
32,-16,289,0,5886,33533,39708
48,-16,693,0,8871,25418,34982
-16,-48,746,0,9289,25134,35169
-64,16,574,0,7818,17960,26352
-48,-32,671,0,9199,25639,35509
32,48,638,5,9743,27016,37402
32,-48,612,0,9251,27723,37586
48,48,886,0,10003,21852,32741
16,-64,857,0,11260,26401,38518
64,16,926,1,10336,28824,40087
16,64,802,0,10704,25219,36725
48,-48,1254,0,9442,24329,35025
32,-64,794,0,9763,22550,33107
-64,32,417,0,9270,24598,34285
64,-16,1236,0,10536,27312,39084
48,-32,976,0,10409,35305,46690
-48,-48,810,0,10402,25556,36768
-64,-16,529,0,10709,26853,38091
-16,48,776,0,11191,37084,49051
-64,-64,895,0,8453,19379,28727
-16,64,764,0,12341,29546,42651
-16,-64,1066,2,13145,31372,45585
-48,48,1403,0,10520,29731,41654
-32,-64,807,0,11111,28092,40010
-48,-64,428,0,10207,25380,36015
-64,48,1043,0,11524,25332,37899
64,48,429,0,9465,24395,34289
0,-64,797,0,13362,37464,51623
64,32,988,0,10964,29886,41838
32,32,1451,0,9382,24841,35674
48,-64,792,0,9856,27870,38518
32,16,678,0,9481,25241,35400
64,64,944,0,12109,26871,39924
48,32,1035,10,11975,22530,35550
16,48,1360,0,10312,28115,39787
32,64,1512,0,12747,34819,49078
0,32,667,0,11299,28120,40086
-48,64,1607,0,14935,33491,50033
0,0,676,0,11059,27990,39725
16,16,1500,0,12176,30895,44571
48,64,955,0,14816,34089,49860
0,16,515,5,12348,30032,42900
-64,-32,1413,0,13528,39043,53984
48,0,460,0,11126,25121,36707
48,48,1103,0,11434,27328,39865
64,-48,1011,0,14685,38883,54579
-32,64,1707,0,17300,38918,57925
48,16,975,0,12601,31087,44663
64,48,945,0,12043,24340,37328
16,64,1568,0,13622,32686,47876
32,48,999,0,13922,35443,50364
16,-32,1077,0,8041,18986,28104
0,-16,1042,0,11433,25176,37651
-64,64,1503,0,15518,38114,55135
-64,-48,1639,0,16090,40404,58133
64,-32,1475,0,16722,46674,64871
0,-32,997,0,9999,18545,29541
16,0,1187,0,14408,34579,50174
32,64,1100,0,15335,32793,49228
16,32,711,0,16008,38729,55448
64,32,1348,0,13286,27418,42052
80,32,537,0,10949,19446,30932
0,80,1106,0,13797,25007,39910
32,0,1073,0,14195,35159,50427
64,-64,1134,0,17411,39014,57559
-16,48,784,0,15362,31218,47364
0,48,1197,0,16675,36188,54060
48,64,1060,0,15244,29397,45701
-16,0,569,0,15143,31200,46912
0,64,1496,3,15601,32444,49544
32,80,1092,0,15078,28116,44286
64,0,1268,0,13149,25416,39833
0,96,1059,0,12644,21236,34939
48,80,1062,0,13707,24350,39119
48,-16,680,0,14435,25358,40473
16,96,951,0,12939,22596,36486
-48,16,557,0,13282,19123,32962
-32,32,1694,0,15688,30512,47894
64,64,663,0,15077,23975,39715
80,16,718,0,13075,22112,35905
-16,64,1212,0,18442,31475,51129
-32,48,1404,0,16661,30167,48232
-16,-16,1558,0,13502,28577,43637
-16,80,2024,1,15684,27910,45619
80,0,1368,0,13429,18216,33013
16,-16,1743,0,16155,33203,51101
80,48,1227,1,15540,22056,38824
-32,96,960,1,15187,13249,29397
48,96,940,0,13377,17572,31889
64,16,1175,0,16671,31099,48945
-48,80,1605,0,15759,13443,30807
-16,32,2247,0,19838,39112,61197
16,80,727,0,19431,33617,53775
-48,0,2111,0,13801,16216,32128
-16,96,1100,0,14171,18502,33773
32,96,1065,0,16914,20896,38875
64,96,1362,0,14611,14552,30525
64,-16,1205,0,15646,19105,35956
64,-32,1373,0,15699,11902,28974
48,-32,562,0,15005,19497,35064
-48,96,2212,0,11826,13526,27564
64,80,1363,0,16915,19233,37511
-16,-32,504,0,15532,19934,35970
-48,32,1602,0,18399,24281,44282
-48,64,1261,0,19363,16283,36907
-32,16,1837,0,19028,30566,51431
-32,80,1408,0,19602,16939,37949
-32,64,2192,0,21013,22517,45722
-16,16,2163,2,22203,36573,60941
80,-16,1447,0,17231,13943,32621
80,96,2560,0,15638,10840,29038
32,-32,1488,0,18823,24103,44414
-32,-32,1594,0,17726,14662,33982
80,64,2238,0,18728,15219,36185
80,80,1419,0,17920,12783,32122
32,-16,2577,0,22299,27686,52562
-48,48,1800,0,23372,18482,43654
-32,0,2723,0,21510,23095,47328
-48,-32,2393,0,17306,11354,31053
-32,-16,2716,0,22177,16474,41367
-48,-16,1684,0,19787,12086,33557
80,-32,2442,0,17929,10930,31301
